vehicle_id,make,model,variant,year_range,engine_type,engine_cc,common_issues
V-01,Maruti,Swift,"LXi,VXi,ZXi,ZXi+",2018-2025,Petrol,1197,"Timing chain noise,Suspension bush wear,AC compressor failure"
V-02,Maruti,Alto,"STD,LXi,VXi",2015-2025,Petrol,796,"Starter motor issue,Clutch cable stretch,Wiper motor failure"
V-03,Maruti,Baleno,"Sigma,Delta,Zeta,Alpha",2019-2025,Petrol,1197,"Ignition coil failure,MAF sensor issue,CVT judder"
V-04,Maruti,Brezza,"LXi,VXi,ZXi,ZXi+",2022-2025,Petrol,1462,"Brake disc warp,Suspension noise,AC not cooling"
V-05,Maruti,Dzire,"LXi,VXi,ZXi,ZXi+",2017-2025,Petrol,1197,"Starter motor wear,Alternator failure,Window regulator break"
V-06,Maruti,WagonR,"LXi,VXi,ZXi",2019-2025,Petrol/CNG,1197,"CNG reducer issue,IAC valve fault,Rear spring sag"
V-07,Maruti,Ertiga,"LXi,VXi,ZXi,ZXi+",2019-2025,Petrol/CNG,1462,"Engine mount wear,Power steering pump noise,Rear shock leak"
V-08,Hyundai,i20,"Magna,Sportz,Asta",2020-2025,Petrol,1197,"Timing chain noise,Clutch judder,Ball joint wear"
V-09,Hyundai,Creta,"E,EX,S,SX,SX(O)",2020-2025,Petrol/Diesel,1497,"Turbo failure diesel,Sunroof drain block,ABS sensor fault"
V-10,Hyundai,Venue,"E,S,SX,SX+",2019-2025,Petrol,1197,"Clutch cable issue,Blower resistor fail,Fuel pump weak"
V-11,Hyundai,Verna,"E,S,SX,SX(O)",2017-2025,Petrol/Diesel,1497,"Injector issue diesel,Alternator fault,Gear oil seal leak"
V-12,Hyundai,i10 Nios,"Era,Magna,Sportz,Asta",2019-2025,Petrol/CNG,1197,"Spark plug wear,Horn failure,Door lock actuator"
V-13,Tata,Nexon,"XE,XM,XZ,XZ+",2020-2025,Petrol/Diesel,1199,"Turbo hose leak diesel,Suspension bush noise,Clutch judder"
V-14,Tata,Punch,"Pure,Adventure,Accomplished,Creative",2021-2025,Petrol,1199,"Engine mount vibration,Brake pad wear,AC gas leak"
V-15,Tata,Altroz,"XE,XM,XZ,XZ+",2020-2025,Petrol/Diesel,1199,"Clutch plate wear,IAC valve,Brake caliper stick"
V-16,Tata,Tiago,"XE,XM,XT,XZ+",2019-2025,Petrol/CNG,1199,"Wiper motor issue,CNG reducer,Drum brake shoe wear"
V-17,Tata,Harrier,"XE,XM,XZ,XZ+",2019-2025,Diesel,1956,"DPF clogging,Turbo bearing,EGR carbon buildup"
V-18,Tata,Safari,"XE,XM,XZ,XZ+,Adventure",2021-2025,Diesel,1956,"Differential noise,Leaf spring sag,AC condenser damage"
