part_id,part_name,category,compatible_vehicles,unit_price,supplier_part_number,min_stock_level,weight_kg
P-001,Connecting Rod Bearing Set,Engine,Universal,1200,CRB-STD-01,3,0.3
P-002,Oil Pan Gasket,Engine,Universal,350,OPG-UNI-01,5,0.1
P-003,Piston Ring Set,Engine,Universal,2500,PRS-STD-01,2,0.5
P-004,Cylinder Honing Service,Engine,Universal,3000,CHS-SVC-01,0,0
P-005,Head Gasket,Engine,"Maruti Swift,Hyundai i20,Honda City",800,HG-SWF-01,3,0.2
P-006,Cylinder Head Bolt Set,Engine,Universal,600,CHB-UNI-01,2,0.4
P-007,Vacuum Hose Kit,Engine,Universal,400,VHK-UNI-01,5,0.1
P-008,Starter Motor Assembly,Engine,"Maruti Swift,Hyundai i20",3500,SM-MSI-01,2,3.5
P-009,Fuel Pump Assembly,Fuel,"Maruti Swift,Hyundai Creta",4500,FPA-UNI-01,2,1.2
P-010,Ignition Coil Pack,Engine,Universal,1800,ICP-UNI-01,3,0.5
P-011,Spark Plug Set (4pc),Engine,Universal,800,SPK-NGK-01,5,0.3
P-012,Thermostat,Cooling,Universal,600,TST-UNI-01,4,0.2
P-013,Timing Chain Kit,Engine,"Maruti Swift,Hyundai i20",3500,TCK-MSI-01,2,1.0
P-014,Timing Chain Tensioner,Engine,Universal,1200,TCT-UNI-01,3,0.3
P-015,Valve Cover Gasket,Engine,Universal,450,VCG-UNI-01,5,0.1
P-016,Hydraulic Lifter Set,Engine,Universal,2800,HLS-UNI-01,2,0.6
P-017,Serpentine Belt,Engine,Universal,650,SRB-UNI-01,4,0.3
P-018,Air Filter,Engine,Universal,250,AFL-UNI-01,10,0.2
P-019,Engine Mount Front,Engine,"Maruti Swift,Hyundai i20",1200,EMF-MSI-01,3,1.5
P-020,Engine Mount Rear,Engine,"Maruti Swift,Hyundai i20",1000,EMR-MSI-01,3,1.2
P-021,Crankshaft Position Sensor,Engine,Universal,1500,CPS-UNI-01,3,0.1
P-022,Fuel Injector,Fuel,Universal,2000,FIJ-UNI-01,4,0.2
P-023,Turbocharger Assembly,Engine,"Hyundai Creta,Tata Nexon",18000,TCA-UNI-01,1,8.0
P-024,Idle Air Control Valve,Engine,Universal,1800,IAC-UNI-01,2,0.2
P-025,Oil Pump Assembly,Engine,Universal,3500,OPA-UNI-01,1,1.5
P-026,Glow Plug Set (4pc),Engine,Diesel,1200,GPS-UNI-01,3,0.2
P-027,Alternator Assembly,Electrical,Universal,4500,ALT-UNI-01,2,4.0
P-028,Water Pump,Cooling,Universal,2000,WTP-UNI-01,3,1.0
P-029,Water Pump Gasket,Cooling,Universal,150,WPG-UNI-01,5,0.05
P-030,EGR Valve,Exhaust,Diesel,3500,EGR-UNI-01,2,0.8
P-031,VVT Solenoid,Engine,Universal,2200,VVT-UNI-01,2,0.3
P-032,Clutch Disc,Transmission,"Maruti Swift,Hyundai i20",1800,CLD-MSI-01,3,1.5
P-033,Pressure Plate,Transmission,"Maruti Swift,Hyundai i20",2200,PPL-MSI-01,2,3.0
P-034,Release Bearing,Transmission,Universal,800,RBR-UNI-01,3,0.3
P-035,Clutch Cable,Transmission,"Maruti Alto,WagonR",350,CCB-MSI-01,5,0.3
P-036,Synchronizer Ring Set,Transmission,Universal,3500,SRS-UNI-01,1,0.5
P-037,Gear Fork,Transmission,Universal,2500,GFK-UNI-01,1,0.4
P-038,Flywheel,Transmission,Universal,4000,FLW-UNI-01,1,5.0
P-039,Gearbox Oil Seal,Transmission,Universal,350,GOS-UNI-01,5,0.05
P-040,ATF Fluid (1L),Transmission,Automatic,600,ATF-UNI-01,5,1.0
P-041,CVT Fluid (1L),Transmission,CVT,900,CVF-UNI-01,3,1.0
P-042,Differential Bearing Set,Transmission,Universal,2500,DBS-UNI-01,2,0.5
P-043,Universal Joint,Transmission,Universal,800,UJT-UNI-01,4,0.3
P-044,Reverse Idler Gear,Transmission,Universal,1800,RIG-UNI-01,1,0.4
P-045,Clutch Master Cylinder,Transmission,Hydraulic Clutch,2000,CMC-UNI-01,2,0.5
P-046,Front Brake Pad Set,Brakes,Universal,1200,FBP-UNI-01,5,0.8
P-047,Rear Brake Pad Set,Brakes,Universal,1000,RBP-UNI-01,5,0.7
P-048,Brake Disc Front,Brakes,Universal,1800,BDF-UNI-01,3,3.0
P-049,Brake Master Cylinder,Brakes,Universal,2500,BMC-UNI-01,2,1.0
P-050,Brake Fluid DOT4 (500ml),Brakes,Universal,250,BFL-UNI-01,8,0.5
P-051,Brake Caliper Assembly,Brakes,Universal,3500,BCA-UNI-01,2,2.5
P-052,ABS Wheel Speed Sensor,Brakes,Universal,2000,AWS-UNI-01,3,0.1
P-053,Rear Wheel Cylinder,Brakes,Universal,600,RWC-UNI-01,3,0.3
P-054,Handbrake Cable,Brakes,Universal,500,HBC-UNI-01,3,0.3
P-055,Rear Brake Shoe Set,Brakes,Universal,800,RBS-UNI-01,4,0.5
P-056,Brake Hose Flexible,Brakes,Universal,400,BHF-UNI-01,4,0.2
P-057,Car Battery 12V 45Ah,Electrical,Universal,5000,BAT-45-01,3,12.0
P-058,Alternator Assembly Reco,Electrical,Universal,4000,ALR-UNI-01,2,4.0
P-059,Window Regulator Assembly,Body,Universal,2500,WRA-UNI-01,2,1.0
P-060,Door Lock Actuator,Body,Universal,1200,DLA-UNI-01,3,0.2
