fault_id,vehicle_type,system,symptom,fault_name,obd_code,confidence,severity,required_parts,estimated_time_hours,estimated_cost_range,fix_procedure,common_vehicles
F0001,Car,Engine,engine making loud knocking noise when accelerating,Connecting Rod Bearing Failure,"P0327,P0328",0.88,Critical,"P-001,P-002",8,8000-15000,Remove oil pan. Inspect rod bearings for wear. Replace bearings and check crankshaft journals. Reassemble with new gaskets.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0002,Car,Engine,heavy metallic knock from engine block under load,Connecting Rod Bearing Failure,"P0327,P0328",0.88,Critical,"P-001,P-002",8,8000-15000,Remove oil pan. Inspect rod bearings for wear. Replace bearings and check crankshaft journals. Reassemble with new gaskets.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0003,Car,Engine,deep knocking sound from bottom engine during acceleration,Connecting Rod Bearing Failure,"P0327,P0328",0.88,Critical,"P-001,P-002",8,8000-15000,Remove oil pan. Inspect rod bearings for wear. Replace bearings and check crankshaft journals. Reassemble with new gaskets.,"Maruti Swift,Hyundai i20,Honda City,Tata Nexon"
F0004,Car,Engine,blue smoke coming from exhaust pipe,Worn Piston Rings,P0524,0.85,High,"P-003,P-004",10,12000-20000,Remove cylinder head. Inspect and replace worn piston rings. Check cylinder bore for scoring. Hone cylinders if needed. Reassemble.,"Maruti Alto,Hyundai Verna,Honda Amaze,Tata Tiago"
F0005,Car,Engine,engine burning oil and producing blue smoke,Worn Piston Rings,P0524,0.85,High,"P-003,P-004",10,12000-20000,Remove cylinder head. Inspect and replace worn piston rings. Check cylinder bore for scoring. Hone cylinders if needed. Reassemble.,"Maruti Alto,Hyundai Verna,Honda Amaze,Tata Tiago"
F0006,Car,Engine,thick blue smoke from tailpipe especially on startup,Worn Piston Rings,P0524,0.85,High,"P-003,P-004",10,12000-20000,Remove cylinder head. Inspect and replace worn piston rings. Check cylinder bore for scoring. Hone cylinders if needed. Reassemble.,"Maruti Alto,Hyundai Verna,Honda Amaze,Tata Tiago"
F0007,SUV,Engine,white smoke from exhaust and coolant level dropping,Head Gasket Failure,P0128,0.9,Critical,"P-005,P-006",6,6000-12000,Remove cylinder head. Replace head gasket. Check head for warping and machine if needed. Replace coolant and oil. Pressure test system.,"Maruti Swift,Hyundai Creta,Honda City,Tata Harrier"
F0008,SUV,Engine,milky substance under oil cap with white exhaust smoke,Head Gasket Failure,P0128,0.9,Critical,"P-005,P-006",6,6000-12000,Remove cylinder head. Replace head gasket. Check head for warping and machine if needed. Replace coolant and oil. Pressure test system.,"Maruti Swift,Hyundai Creta,Honda City,Tata Harrier"
F0009,SUV,Engine,engine overheating with white smoke from exhaust,Head Gasket Failure,P0128,0.9,Critical,"P-005,P-006",6,6000-12000,Remove cylinder head. Replace head gasket. Check head for warping and machine if needed. Replace coolant and oil. Pressure test system.,"Maruti Swift,Hyundai Creta,Honda City,Tata Harrier"
F0010,Car,Engine,engine running rough at idle speed,Vacuum Leak,"P0171,P0174",0.78,Medium,P-007,2,1500-3000,Perform smoke test to locate vacuum leak. Replace cracked or broken vacuum hoses. Check intake manifold gasket. Clear codes and test.,"Maruti Baleno,Hyundai i20,Tata Altroz,Kia Seltos"
F0011,Car,Engine,car vibrating and shaking at idle,Vacuum Leak,"P0171,P0174",0.78,Medium,P-007,2,1500-3000,Perform smoke test to locate vacuum leak. Replace cracked or broken vacuum hoses. Check intake manifold gasket. Clear codes and test.,"Maruti Baleno,Hyundai i20,Tata Altroz,Kia Seltos"
F0012,Car,Engine,uneven idle with engine shaking and misfiring,Vacuum Leak,"P0171,P0174",0.78,Medium,P-007,2,1500-3000,Perform smoke test to locate vacuum leak. Replace cracked or broken vacuum hoses. Check intake manifold gasket. Clear codes and test.,"Maruti Baleno,Hyundai i20,Tata Altroz,Kia Seltos"
F0013,Car,Engine,engine not starting just clicking sound,Starter Motor Failure,,0.82,High,P-008,2,3000-5500,Test battery voltage first. If battery OK inspect starter motor. Remove and bench test starter. Replace starter motor and solenoid if faulty.,"Maruti Dzire,Hyundai Verna,Honda Amaze,Mahindra XUV300"
F0014,Car,Engine,car won't start makes clicking noise,Starter Motor Failure,,0.82,High,P-008,2,3000-5500,Test battery voltage first. If battery OK inspect starter motor. Remove and bench test starter. Replace starter motor and solenoid if faulty.,"Maruti Dzire,Hyundai Verna,Honda Amaze,Mahindra XUV300"
F0015,Car,Engine,turning key gives rapid clicking but engine won't crank,Starter Motor Failure,,0.82,High,P-008,2,3000-5500,Test battery voltage first. If battery OK inspect starter motor. Remove and bench test starter. Replace starter motor and solenoid if faulty.,"Maruti Dzire,Hyundai Verna,Honda Amaze,Mahindra XUV300"
F0016,Car,Engine,engine cranks but won't start no fuel smell,Fuel Pump Failure,"P0230,P0231",0.84,High,P-009,3,4000-7000,Check fuel pressure at rail. Listen for fuel pump priming. Test fuel pump relay. Replace fuel pump assembly. Clear codes.,"Maruti Swift,Hyundai Creta,Tata Nexon,Honda City"
F0017,Car,Engine,car cranking continuously but not starting,Fuel Pump Failure,"P0230,P0231",0.84,High,P-009,3,4000-7000,Check fuel pressure at rail. Listen for fuel pump priming. Test fuel pump relay. Replace fuel pump assembly. Clear codes.,"Maruti Swift,Hyundai Creta,Tata Nexon,Honda City"
F0018,Car,Engine,engine turns over but fails to fire up,Fuel Pump Failure,"P0230,P0231",0.84,High,P-009,3,4000-7000,Check fuel pressure at rail. Listen for fuel pump priming. Test fuel pump relay. Replace fuel pump assembly. Clear codes.,"Maruti Swift,Hyundai Creta,Tata Nexon,Honda City"
F0019,Car,Engine,check engine light on with engine misfiring,Ignition Coil Failure,"P0300,P0301,P0302,P0303,P0304",0.86,Medium,P-010,1,2000-4000,Read fault codes to identify affected cylinder. Remove and test ignition coil. Replace faulty coil pack. Replace spark plug if damaged. Clear codes.,"Maruti Baleno,Hyundai i20,Kia Seltos,Tata Altroz"
F0020,Car,Engine,engine misfiring on one cylinder with CEL flashing,Ignition Coil Failure,"P0300,P0301,P0302,P0303,P0304",0.86,Medium,P-010,1,2000-4000,Read fault codes to identify affected cylinder. Remove and test ignition coil. Replace faulty coil pack. Replace spark plug if damaged. Clear codes.,"Maruti Baleno,Hyundai i20,Kia Seltos,Tata Altroz"
F0021,Car,Engine,rough running with check engine light and misfire codes,Ignition Coil Failure,"P0300,P0301,P0302,P0303,P0304",0.86,Medium,P-010,1,2000-4000,Read fault codes to identify affected cylinder. Remove and test ignition coil. Replace faulty coil pack. Replace spark plug if damaged. Clear codes.,"Maruti Baleno,Hyundai i20,Kia Seltos,Tata Altroz"
F0022,Car,Engine,spark plugs worn engine running rough and poor mileage,Worn Spark Plugs,P0300,0.8,Low,P-011,1,800-2000,Remove and inspect spark plugs. Check electrode gap and condition. Replace all spark plugs with correct grade. Check ignition leads.,"Maruti WagonR,Hyundai i10,Honda Amaze,Tata Tiago"
F0023,Car,Engine,engine missing and poor fuel economy,Worn Spark Plugs,P0300,0.8,Low,P-011,1,800-2000,Remove and inspect spark plugs. Check electrode gap and condition. Replace all spark plugs with correct grade. Check ignition leads.,"Maruti WagonR,Hyundai i10,Honda Amaze,Tata Tiago"
F0024,Car,Engine,difficulty starting with rough idle and reduced power,Worn Spark Plugs,P0300,0.8,Low,P-011,1,800-2000,Remove and inspect spark plugs. Check electrode gap and condition. Replace all spark plugs with correct grade. Check ignition leads.,"Maruti WagonR,Hyundai i10,Honda Amaze,Tata Tiago"
F0025,Car,Engine,engine overheating temperature gauge in red zone,Thermostat Stuck Closed,P0128,0.83,High,P-012,2,1500-3000,Drain coolant. Remove thermostat housing. Replace thermostat. Refill coolant and bleed air from system. Test for normal operating temperature.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0026,Car,Engine,car overheating in traffic with steam from bonnet,Thermostat Stuck Closed,P0128,0.83,High,P-012,2,1500-3000,Drain coolant. Remove thermostat housing. Replace thermostat. Refill coolant and bleed air from system. Test for normal operating temperature.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0027,Car,Engine,temperature warning light on engine getting very hot,Thermostat Stuck Closed,P0128,0.83,High,P-012,2,1500-3000,Drain coolant. Remove thermostat housing. Replace thermostat. Refill coolant and bleed air from system. Test for normal operating temperature.,"Maruti Swift,Hyundai Creta,Honda City,Toyota Innova"
F0028,Car,Engine,timing chain making rattling noise on cold start,Timing Chain Tensioner Failure,"P0016,P0017",0.87,High,"P-013,P-014",5,5000-9000,Remove timing cover. Inspect chain tensioner and guides. Replace tensioner and chain if stretched. Reset timing marks. Reassemble.,"Maruti Swift,Hyundai i20,Tata Nexon,Honda City"
F0029,Car,Engine,chain rattle from front of engine that goes away when warm,Timing Chain Tensioner Failure,"P0016,P0017",0.87,High,"P-013,P-014",5,5000-9000,Remove timing cover. Inspect chain tensioner and guides. Replace tensioner and chain if stretched. Reset timing marks. Reassemble.,"Maruti Swift,Hyundai i20,Tata Nexon,Honda City"
F0030,Car,Engine,metallic rattling from timing chain area on startup,Timing Chain Tensioner Failure,"P0016,P0017",0.87,High,"P-013,P-014",5,5000-9000,Remove timing cover. Inspect chain tensioner and guides. Replace tensioner and chain if stretched. Reset timing marks. Reassemble.,"Maruti Swift,Hyundai i20,Tata Nexon,Honda City"
F0031,SUV,Engine,engine oil leaking from top of engine,Valve Cover Gasket Leak,,0.82,Medium,P-015,2,1500-3000,Clean area around valve cover. Remove cover bolts. Replace valve cover gasket and grommets. Torque bolts to spec. Clean spilled oil.,"Maruti Ertiga,Hyundai Verna,Honda City,Mahindra XUV700"
F0032,SUV,Engine,oil dripping on exhaust manifold burning smell,Valve Cover Gasket Leak,,0.82,Medium,P-015,2,1500-3000,Clean area around valve cover. Remove cover bolts. Replace valve cover gasket and grommets. Torque bolts to spec. Clean spilled oil.,"Maruti Ertiga,Hyundai Verna,Honda City,Mahindra XUV700"
F0033,SUV,Engine,visible oil leak around valve cover area,Valve Cover Gasket Leak,,0.82,Medium,P-015,2,1500-3000,Clean area around valve cover. Remove cover bolts. Replace valve cover gasket and grommets. Torque bolts to spec. Clean spilled oil.,"Maruti Ertiga,Hyundai Verna,Honda City,Mahindra XUV700"
F0034,SUV,Engine,engine making ticking noise from top,Hydraulic Lifter Noise,,0.75,Medium,P-016,3,3000-6000,Check oil level and condition. If oil OK remove valve cover and inspect lifters. Replace collapsed or noisy lifters. Use correct grade oil.,"Hyundai Creta,Tata Harrier,Honda City,Kia Seltos"
F0035,SUV,Engine,ticking or tapping sound from cylinder head area,Hydraulic Lifter Noise,,0.75,Medium,P-016,3,3000-6000,Check oil level and condition. If oil OK remove valve cover and inspect lifters. Replace collapsed or noisy lifters. Use correct grade oil.,"Hyundai Creta,Tata Harrier,Honda City,Kia Seltos"
